ID,dist,lat,lon
315866,3,38.682166,-121.336991
315867,3,38.683947,-121.335012
315868,3,38.687489,-121.331079
315869,3,38.688182,-121.330331
315870,3,38.698433,-121.319133
315871,3,38.704565,-121.312447
315872,3,38.446758,-121.405903
315873,3,38.511704,-121.460827
315874,3,38.545423,-121.473985
315875,3,38.553902,-121.474301
315876,3,38.707089,-121.309709
315877,3,38.712665,-121.303606
315878,3,38.718133,-121.297626
315879,3,38.560187,-121.472685
315880,3,38.645422,-121.3844
315881,3,38.65368,-121.368403
315882,3,38.659699,-121.361733
315883,3,38.661338,-121.359911
315884,3,38.666974,-121.3541
315885,3,38.674709,-121.345726
315886,3,38.681378,-121.338403
315887,3,38.683477,-121.336101
315888,3,38.687909,-121.331274
315889,3,38.688592,-121.330501
315890,3,38.69913,-121.318965
315891,3,38.705474,-121.311953
315892,3,38.707666,-121.309534
315893,3,38.713156,-121.303518
315894,3,38.60825,-121.271899
315895,3,38.609417,-121.269079
315896,3,38.615211,-121.25363
315897,3,38.619685,-121.242008
315898,3,38.624844,-121.228324
315899,3,38.631173,-121.216288
315900,3,38.641845,-121.155374
315901,3,38.641689,-121.151909
315902,3,38.642469,-121.129621
315903,3,38.643112,-121.115975
315904,3,38.643231,-121.112934
315907,3,38.643424,-121.114684
315908,3,38.643267,-121.11836
315909,3,38.642728,-121.129685
315910,3,38.642108,-121.155977
315911,3,38.642282,-121.159864
315912,3,38.641958,-121.181267
315913,3,38.639704,-121.199161
315914,3,38.631299,-121.216481
315915,3,38.630255,-121.21846
315927,3,38.64357,-121.526615
315928,3,38.644209,-121.52701
315938,3,38.642112,-121.525894
315939,3,38.641659,-121.525894
315955,3,38.644101,-121.526971
315956,3,38.643474,-121.526971
315957,3,38.644208,-121.52821
315969,3,38.641662,-121.525453
315970,3,38.642076,-121.525569
315971,3,38.638795,-121.525453
315982,3,38.642988,-121.430285
315983,3,38.643068,-121.430285
315984,3,38.642527,-121.430285
315993,3,38.64289,-121.431114
315994,3,38.64289,-121.430714
315995,3,38.64289,-121.43417
316001,3,38.642777,-121.431092
316002,3,38.642777,-121.433476
316009,3,38.642186,-121.42862
316010,3,38.642186,-121.428038
316018,3,38.638645,-121.420373
316019,3,38.638645,-121.420301
316032,3,38.637486,-121.414023
316033,3,38.637486,-121.415599
316034,3,38.637486,-121.412838
316045,3,38.637242,-121.410678
316046,3,38.637242,-121.410678
316047,3,38.637242,-121.41631
316063,3,38.640501,-121.397843
316064,3,38.640501,-121.397843
316065,3,38.640501,-121.397843
316066,3,38.637405,-121.403303
316073,3,38.560059,-121.514173
316074,3,38.560087,-121.514183
316075,3,38.564783,-121.513944
316084,3,38.641382,-121.446154
316085,3,38.641632,-121.44618
316095,3,38.673195,-121.637449
316096,3,38.673456,-121.637445
316097,3,38.673195,-121.637449
316098,3,38.673195,-121.639839
316099,3,38.673461,-121.638769
316100,3,38.673461,-121.637886
316101,3,38.641762,-121.181256
316104,3,38.641138,-121.381637
316106,3,38.57721,-121.527614
316107,3,38.629144,-121.404774
316110,3,38.638497,-121.384478
316114,3,38.639012,-121.383914
316118,3,38.635499,-121.388289
316124,3,38.616931,-121.420332
316125,3,38.61775,-121.420033
316129,3,38.626669,-121.411094
316140,3,38.626864,-121.513302
316141,3,38.627097,-121.513465
316143,3,38.628798,-121.509554
316153,3,38.628383,-121.511021
316154,3,38.628513,-121.510775
316160,3,38.63933,-121.488798
316166,3,38.63933,-121.488798
316174,3,38.641601,-121.458554
316176,3,38.641678,-121.151424
316184,3,38.558591,-121.381894
316188,3,38.54215,-121.473932
316204,3,38.88388,-121.10218
316206,3,38.884011,-121.10226
316213,3,38.923626,-121.057257
316214,3,38.923626,-121.057257
316221,3,38.921461,-121.058666
316222,3,38.921461,-121.058666
316230,3,38.950579,-121.040946
316231,3,38.950568,-121.041187
316247,3,39.003551,-120.993668
316248,3,39.003551,-120.993668
316249,3,39.003551,-120.993668
316250,3,39.002864,-120.99438
316251,3,39.003607,-120.9938
316252,3,39.003607,-120.9938
316259,3,39.04539,-120.973725
316260,3,39.04539,-120.973725
316261,3,39.04539,-120.973725
316262,3,39.045425,-120.973859
316263,3,39.045425,-120.973859
316264,3,39.045425,-120.973859
316271,3,38.633436,-121.21189
316279,3,38.633637,-121.212023
316280,3,38.633436,-121.21189
316281,3,38.633637,-121.212023
316285,3,38.494447,-121.516952
316301,3,38.57515,-121.559288
316314,3,38.662337,-121.358345
316315,3,38.662459,-121.358216
316328,3,38.660308,-121.36059
316329,3,38.660464,-121.360424
316330,3,38.657868,-121.363257
316362,3,38.550747,-121.47426
316364,3,38.558891,-121.476106
316366,3,38.553909,-121.474076
316373,3,38.643267,-121.112084
316386,3,38.648911,-121.373044
316387,3,38.648911,-121.373044
316388,3,38.648911,-121.373044
316398,3,38.454901,-121.410403
316399,3,38.455995,-121.410403
316400,3,38.455995,-121.410403
316414,3,38.724989,-121.289962
316415,3,38.725266,-121.289659
316416,3,38.722519,-121.292665
316421,3,38.560243,-121.472946
316429,3,38.56023,-121.472952
316438,3,38.742518,-121.271844
316439,3,38.741773,-121.27234
316451,3,38.744493,-121.27055
316452,3,38.743822,-121.270989
316453,3,38.744493,-121.27055
316454,3,38.744493,-121.27055
316482,3,38.674714,-121.751004
316483,3,38.674714,-121.751004
316484,3,38.671548,-121.751042
316485,3,38.674706,-121.751246
316486,3,38.672157,-121.75129
316487,3,38.674706,-121.751246
316492,3,38.600249,-121.450708
316493,3,38.600247,-121.450708
316531,3,39.165401,-120.179254
316533,3,39.165402,-120.179253
316575,3,38.774357,-121.258893
316580,3,38.774137,-121.259187
316584,3,38.78197,-121.274692
316588,3,38.781848,-121.274912
316593,3,38.789813,-121.292034
316597,3,38.789659,-121.292235
316601,3,38.801469,-121.299964
316605,3,38.801522,-121.300268
316617,3,38.83127,-121.299807
316621,3,38.831071,-121.300175
316648,3,38.650343,-121.077987
316653,3,38.650558,-121.078186
316654,3,38.656309,-121.060049
316661,3,38.656538,-121.060204
316666,3,38.657908,-121.047296
316670,3,38.658448,-121.047413
316674,3,38.655051,-121.016433
316678,3,38.655258,-121.016682
316682,3,38.65862,-120.980746
316686,3,38.659002,-120.980391
316690,3,38.65945,-120.960206
316694,3,38.659702,-120.960235
316699,3,38.661447,-120.942237
316704,3,38.661693,-120.942335
316708,3,38.670948,-120.924222
316712,3,38.671154,-120.924426
316716,3,38.698133,-120.875034
316720,3,38.698367,-120.875192
316724,3,38.724096,-120.827743
316728,3,38.724184,-120.827843
316733,3,38.817475,-121.188052
316738,3,38.817571,-121.188235
316743,3,38.828098,-121.175422
316748,3,38.828172,-121.175603
316753,3,38.852377,-121.146155
316758,3,38.852429,-121.146352
316760,3,38.838685,-121.16274
316768,3,38.838756,-121.162936
316773,3,38.547128,-121.71973
316778,3,38.547332,-121.719907
316783,3,38.556203,-121.679867
316788,3,38.556385,-121.680098
316803,3,38.567072,-121.617777
316808,3,38.567235,-121.617892
